Date,ID,Name,Sale_Price,Reg_Price,Discount,Collection,Brand,Type,Company,URL,SKU,SKU_Formatted,Rating,In_Stock,In_Stock_Status,Reviews
2023-02-17 09:54:36.275638,7158235758748,1/48 AICHI M6A1 SEIRAN,Sale price,$49.99,Save $12.50,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-aichi-m6a1-seiran?_pos=36&_fid=776aca48f&_ss=c,T61054,T61054,0,Low stock - 3 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158015525020,148 ILYUSHIN IL2 SHTURMOVIK,$89.99,$89.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-ilyushin-il-2-shturmovik?_pos=37&_fid=776aca48f&_ss=c,T61113,T61113,0,Low stock - 3 items left,YES,No reviews
2023-02-17 09:54:36.275638,7166034673820,1/48 FAIREY SWORDFISH MK.I PHOTOETCHED BRACING WIRE SET,Sale price,$24.99,Save $7.50,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-fairey-swordfish-mk-i-photo-etched-bracing-wire-set?_pos=38&_fid=776aca48f&_ss=c,T61069,T61069,0,Low stock - 1 item left,YES,No reviews
2023-02-17 09:54:36.275638,7158237724828,148 FOCKEWULF FW190A8/A8 R2,$49.99,$49.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-focke-wulf-fw190a-8-a-8-r2?_pos=39&_fid=776aca48f&_ss=c,T61095,T61095,0,Low stock - 5 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158238544028,148 MITSUBUSHI A6M3/3A ZERO FIGHTER ZEKE,$69.99,$69.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-mitsubushi-a6m3-3a-zero-fighter-zeke?_pos=40&_fid=776aca48f&_ss=c,T61108,T61108,0,Low stock - 4 items left,YES,No reviews
2023-02-17 09:54:36.275638,7165167796380,1/48 DOUGLAS A1J SKYRAIDER US AIR FORCE,$54.99,$54.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-douglas-a-1j-skyraider-us-air-force?_pos=41&_fid=776aca48f&_ss=c,T61073,T61073,0,Low stock - 4 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158233497756,1/48 MITSUBISHI A6M5C ZERO FIGHTER ZEKE,$24.99,$24.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-mitsubishi-a6m5c-zero-fighter-zeke?_pos=42&_fid=776aca48f&_ss=c,T61027,T61027,0,Low stock - 4 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158231335068,1/72 F51D MUSTANG KOREAN WAR,$24.99,$24.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-72-f-51d-mustang-korean-war?_pos=43&_fid=776aca48f&_ss=c,T60754,T60754,0,Low stock - 3 items left,YES,No reviews
2023-02-17 09:54:36.275638,7164470624412,1/72 P47D THUNDERBOLT RAZORBACK,$32.99,$32.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-72-p-47d-thunderbolt-razorback?_pos=44&_fid=776aca48f&_ss=c,T60769,T60769,0,Low stock - 4 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158237659292,1/48 BREWSTER B339 BUFFALO PACIFIC THEATER,$39.99,$39.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-brewster-b-339-buffalo-pacific-theater?_pos=45&_fid=776aca48f&_ss=c,T61094,T61094,0,Low stock - 4 items left,YES,No reviews
